Gorai.001G000100.1	GO:0016429, GO:0030488
Gorai.001G041100.1	GO:0001104, GO:0006357, GO:0016592
Gorai.001G041300.1	GO:0005515
Gorai.001G041400.1	GO:0016773
Gorai.001G041600.1	GO:0042254, GO:0005634
Gorai.001G041800.1	GO:0003677
Gorai.001G041900.1	GO:0005215, GO:0006857, GO:0016020
Gorai.001G042300.1	GO:0003700, GO:0006355
Gorai.001G042600.1	GO:0005515
Gorai.001G042900.1	GO:0003677, GO:0005634
Gorai.001G043100.1	GO:0004553, GO:0005975
Gorai.001G043600.1	GO:0005543
Gorai.001G043700.1	GO:0008270
Gorai.001G043800.1	GO:0003830, GO:0006487, GO:0016020
Gorai.001G043900.1	GO:0006355, GO:0005634
Gorai.001G044000.1	GO:0003677
Gorai.001G044200.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G044300.1	GO:0005509, GO:0007165, GO:0005578
Gorai.001G044700.1	GO:0016760, GO:0030244, GO:0016020
Gorai.001G044800.1	GO:0003743, GO:0006413
Gorai.001G044900.1	GO:0003755, GO:0006457
Gorai.001G045000.1	GO:0003755, GO:0006457
Gorai.001G045300.1	GO:0016021
Gorai.001G045500.1	GO:0016491, GO:0016706, GO:0055114
Gorai.001G045700.1	GO:0008601, GO:0007165, GO:0000159
Gorai.001G045800.1	GO:0008237, GO:0008270
Gorai.001G046200.1	GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.001G046300.1	GO:0003676
Gorai.001G046400.1	GO:0000287, GO:0004634, GO:0006096, GO:0000015
Gorai.001G046900.1	GO:0016740, GO:0030170, GO:0009058
Gorai.001G047000.1	GO:0015299, GO:0006812, GO:0055085, GO:0016021
Gorai.001G047100.1	GO:0004222, GO:0006508, GO:0016020
Gorai.001G047200.1	GO:0005506, GO:0009055, GO:0016705, GO:0020037, GO:0055114
Gorai.001G047500.1	GO:0016491, GO:0016706, GO:0055114
Gorai.001G047800.1	GO:0005515
Gorai.001G047900.1	GO:0008270, GO:0005634
Gorai.001G048000.1	GO:0003697
Gorai.001G048100.1	GO:0004553, GO:0005975
Gorai.001G048200.1	GO:0003677, GO:0006355
Gorai.001G048300.1	GO:0016491, GO:0055114, GO:0005507
Gorai.001G048600.1	GO:0022857, GO:0055085, GO:0016021
Gorai.001G048800.1	GO:0007017, GO:0005875
Gorai.001G049000.1	GO:0005215, GO:0006810, GO:0016020
Gorai.001G049100.1	GO:0005515, GO:0005524, GO:0051276, GO:0005694
Gorai.001G049500.1	GO:0004672, GO:0005524, GO:0006468, GO:0005515
Gorai.001G049600.1	GO:0003735, GO:0006412, GO:0005840
Gorai.001G049700.1	GO:0003677, GO:0003899, GO:0006383, GO:0005666
Gorai.001G049800.1	GO:0003700, GO:0006355
Gorai.001G050000.1	GO:0008270, GO:0016491, GO:0055114
Gorai.001G050100.1	GO:0008270, GO:0016491, GO:0055114
Gorai.001G050200.1	GO:0022857, GO:0055085, GO:0016021
Gorai.001G050300.1	GO:0004672, GO:0005524, GO:0006468, GO:0006950, GO:0004842, GO:0016567, GO:0000151
Gorai.001G050400.1	GO:0003993
Gorai.001G050500.1	GO:0004672, GO:0005524, GO:0006468, GO:0005488
Gorai.001G050600.1	GO:0005515
Gorai.001G050700.1	GO:0005515
Gorai.001G051000.1	GO:0003872, GO:0006096, GO:0005945
Gorai.001G051100.1	GO:0003700, GO:0006355
Gorai.001G051200.1	GO:0003700, GO:0006355
Gorai.001G051300.1	GO:0003700, GO:0006355
Gorai.001G051400.1	GO:0012511, GO:0016021
Gorai.001G051600.1	GO:0016740, GO:0008168, GO:0031167, GO:0008276, GO:0006479, GO:0005737
Gorai.001G051700.1	GO:0016491, GO:0016706, GO:0055114
Gorai.001G052000.1	GO:0003677, GO:0006306
Gorai.001G052400.1	GO:0001104, GO:0006355, GO:0016592
Gorai.001G052500.1	GO:0003676
Gorai.001G052600.1	GO:0008124, GO:0006729
Gorai.001G052700.1	GO:0004784, GO:0046872, GO:0006801, GO:0055114
Gorai.001G052800.1	GO:0005515
Gorai.001G053000.1	GO:0005524, GO:0019538, GO:0016887
Gorai.001G053100.1	GO:0005515, GO:0008081, GO:0006281, GO:0005634, GO:0003676, GO:0008270, GO:0016818
Gorai.001G053300.1	GO:0005506, GO:0009055, GO:0016491, GO:0050660, GO:0016021, GO:0055114, GO:0004601, GO:0050664
Gorai.001G053400.1	GO:0005509
Gorai.001G053900.1	GO:0003677, GO:0006355
Gorai.001G054100.1	GO:0005515
Gorai.001G054200.1	GO:0003676
Gorai.001G054400.1	GO:0008168, GO:0046406, GO:0015979, GO:0015995, GO:0008152
Gorai.001G054600.1	GO:0006355, GO:0005634, GO:0003677, GO:0009725
Gorai.001G054700.1	GO:0005524, GO:0008134, GO:0006355, GO:0005515, GO:0019538, GO:0016887
Gorai.001G055000.1	GO:0005515
Gorai.001G055100.1	GO:0003735, GO:0006412, GO:0015934
Gorai.001G055200.1	GO:0005515
Gorai.001G055300.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G055500.1	GO:0016021
Gorai.001G055600.1	GO:0016021
Gorai.001G055700.1	GO:0016021
Gorai.001G055800.1	GO:0008483, GO:0030170
Gorai.001G055900.1	GO:0005524
Gorai.001G056500.1	GO:0016597, GO:0008152
Gorai.001G056800.1	GO:0016491, GO:0008152
Gorai.001G056900.1	GO:0016491, GO:0008152
Gorai.001G057100.1	GO:0046872, GO:0030001
Gorai.001G057200.1	GO:0005524, GO:0016887, GO:0016020
Gorai.001G057400.1	GO:0005524, GO:0016887, GO:0016020
Gorai.001G057600.1	GO:0003700, GO:0043565, GO:0006355
Gorai.001G057700.1	GO:0003677, GO:0005634
Gorai.001G058000.1	GO:0003824, GO:0030151, GO:0030170
Gorai.001G058100.1	GO:0005515
Gorai.001G058200.1	GO:0016788
Gorai.001G058400.1	GO:0031072
Gorai.001G058500.1	GO:0003677, GO:0043565, GO:0005622
Gorai.001G058600.1	GO:0005506, GO:0009055, GO:0016705, GO:0020037, GO:0055114
Gorai.001G059100.1	GO:0008270
Gorai.001G059200.1	GO:0005515
Gorai.001G059300.1	GO:0008234, GO:0006508
Gorai.001G059400.1	GO:0005524, GO:0005515, GO:0009378, GO:0006281, GO:0006310
Gorai.001G059600.1	GO:0016787
Gorai.001G059900.1	GO:0004055, GO:0005524, GO:0006526
Gorai.001G060000.1	GO:0005524, GO:0019205, GO:0006139
Gorai.001G060100.1	GO:0004672, GO:0005524, GO:0006468, GO:0005515
Gorai.001G060300.1	GO:0005524, GO:0019205, GO:0006139, GO:0004017
Gorai.001G060600.1	GO:0004252, GO:0006508, GO:0042802, GO:0043086
Gorai.001G060700.1	GO:0003824, GO:0008152
Gorai.001G060800.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G060900.1	GO:0004474, GO:0006097, GO:0016830, GO:0006725
Gorai.001G061300.1	GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.001G061700.1	GO:0005215, GO:0006810, GO:0055085, GO:0016020
Gorai.001G061800.1	GO:0003676, GO:0008270
Gorai.001G061900.1	GO:0005515
Gorai.001G062200.1	GO:0005524, GO:0003887
Gorai.001G062300.1	GO:0005515, GO:0003712, GO:0004402, GO:0008270, GO:0006355, GO:0005634
Gorai.001G062600.1	GO:0016671, GO:0019538, GO:0055114
Gorai.001G062700.1	GO:0008236, GO:0006508, GO:0016787
Gorai.001G063000.1	GO:0004719, GO:0006464
Gorai.001G063100.1	GO:0003676
Gorai.001G063300.1	GO:0003735, GO:0019843, GO:0006412, GO:0005622, GO:0005840
Gorai.001G063400.1	GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.001G063500.1	GO:0003676
Gorai.001G063600.1	GO:0005506, GO:0009055, GO:0016705, GO:0020037, GO:0055114
Gorai.001G063800.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G063900.1	GO:0005506, GO:0009055, GO:0016705, GO:0020037, GO:0055114
Gorai.001G064000.1	GO:0008987, GO:0009435
Gorai.001G064300.1	GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.001G064400.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G064500.1	GO:0005515
Gorai.001G064600.1	GO:0003676, GO:0005524, GO:0008026, GO:0004386
Gorai.001G064700.1	GO:0043565, GO:0005622
Gorai.001G064800.1	GO:0000166, GO:0046872, GO:0003824, GO:0008152
Gorai.001G064900.1	GO:0003700, GO:0006355
Gorai.001G065200.1	GO:0016021
Gorai.001G065300.1	GO:0016021
Gorai.001G065400.1	GO:0047800, GO:0055114
Gorai.001G065600.1	GO:0016844, GO:0009058
Gorai.001G065700.1	GO:0016844, GO:0009058
Gorai.001G066000.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G066100.1	GO:0016021
Gorai.001G066200.1	GO:0043531
Gorai.001G066400.1	GO:0005515
Gorai.001G066500.1	GO:0016773
Gorai.001G066900.1	GO:0005515
Gorai.001G067000.1	GO:0003677, GO:0008270, GO:0006355
Gorai.001G067400.1	GO:0004455, GO:0009082, GO:0055114, GO:0008652
Gorai.001G067500.1	GO:0008146
Gorai.001G067800.1	GO:0016758, GO:0030246, GO:0005975, GO:0030259
Gorai.001G067900.1	GO:0016758, GO:0005975, GO:0030259, GO:0030246
Gorai.001G068000.1	GO:0005515
Gorai.001G068200.1	GO:0007034, GO:0030904
Gorai.001G068300.1	GO:0005524, GO:0016887, GO:0016020
Gorai.001G068400.1	GO:0016021
Gorai.001G068600.1	GO:0003824
Gorai.001G068700.1	GO:0003677
Gorai.001G068900.1	GO:0005509, GO:0005544
Gorai.001G069000.1	GO:0004371, GO:0006071
Gorai.001G069100.1	GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.001G069200.1	GO:0006457
Gorai.001G069500.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G069600.1	GO:0008762, GO:0016491, GO:0050660, GO:0055114
Gorai.001G069700.1	GO:0003677
Gorai.001G069800.1	GO:0005515
Gorai.001G069900.1	GO:0005515
Gorai.001G070200.1	GO:0004672, GO:0005524, GO:0006468, GO:0005515
Gorai.001G070300.1	GO:0016881
Gorai.001G070400.1	GO:0004252, GO:0006508
Gorai.001G070500.1	GO:0003824, GO:0005992
Gorai.001G070700.1	GO:0003677, GO:0006355
Gorai.001G071000.1	GO:0016779, GO:0009058
Gorai.001G071200.1	GO:0016491, GO:0008152, GO:0055114
Gorai.001G071400.1	GO:0016020, GO:0055085
Gorai.001G071800.1	GO:0008168, GO:0008152
Gorai.001G072000.1	GO:0006334, GO:0005634
Gorai.001G072100.1	GO:0016491, GO:0016706, GO:0055114
Gorai.001G072300.1	GO:0016491, GO:0008152, GO:0003824, GO:0050662, GO:0044237
Gorai.001G072400.1	GO:0005515
Gorai.001G072500.1	GO:0016853
Gorai.001G072600.1	GO:0008107, GO:0042546, GO:0016020
Gorai.001G072700.1	GO:0004750, GO:0005975
Gorai.001G072800.1	GO:0003723, GO:0003676, GO:0008270
Gorai.001G073100.1	GO:0005515
Gorai.001G073200.1	GO:0005515
Gorai.001G073600.1	GO:0003700, GO:0043565, GO:0006355, GO:0003677, GO:0005634
Gorai.001G073900.1	GO:0016491, GO:0008152, GO:0003854, GO:0016616, GO:0006694, GO:0055114, GO:0003824, GO:0050662, GO:0044237
Gorai.001G074000.1	GO:0004672, GO:0005524, GO:0006468, GO:0005515
Gorai.001G074100.1	GO:0006396
Gorai.001G074200.1	GO:0003677, GO:0046983
Gorai.001G074400.1	GO:0003824, GO:0006464
Gorai.001G074600.1	GO:0016491, GO:0055114, GO:0003854, GO:0016616, GO:0006694
Gorai.001G074700.1	GO:0003676, GO:0008270
Gorai.001G075000.1	GO:0003677
Gorai.001G075100.1	GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.001G075200.1	GO:0003777, GO:0005524, GO:0007018
Gorai.001G075400.1	GO:0005783
Gorai.001G075600.1	GO:0006950
Gorai.001G075700.1	GO:0005515, GO:0051087
Gorai.001G075800.1	GO:0003677, GO:0046983, GO:0003700, GO:0006355, GO:0005634
Gorai.001G075900.1	GO:0005524, GO:0016887, GO:0042626, GO:0006810, GO:0055085, GO:0016021
Gorai.001G076000.1	GO:0005515
Gorai.001G076300.1	GO:0008466, GO:0016758, GO:0007047, GO:0030244, GO:0005618, GO:0030054
Gorai.001G076500.1	GO:0005515
Gorai.001G076900.1	GO:0008889, GO:0006071
Gorai.001G077000.1	GO:0003676
Gorai.001G077100.1	GO:0004190, GO:0016021
Gorai.001G077300.1	GO:0003824, GO:0008152
Gorai.001G077400.1	GO:0046933, GO:0046961, GO:0015986, GO:0045261
Gorai.001G077600.1	GO:0005524, GO:0008134, GO:0006355, GO:0019538, GO:0016887
Gorai.001G077800.1	GO:0035556, GO:0004143, GO:0007205
Gorai.001G077900.1	GO:0016616, GO:0051287, GO:0055114
Gorai.001G078000.1	GO:0005515
Gorai.001G078100.1	GO:0005515
Gorai.001G078600.1	GO:0003723, GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.001G078800.1	GO:0003723, GO:0003746, GO:0043022, GO:0006452, GO:0045901, GO:0045905
Gorai.001G078900.1	GO:0005515
Gorai.001G079100.1	GO:0004176, GO:0006508
Gorai.001G079200.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G079300.1	GO:0005529, GO:0008378, GO:0006486, GO:0016020
Gorai.001G079400.1	GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.001G079500.1	GO:0016747
Gorai.001G079700.1	GO:0016787, GO:0005515
Gorai.001G079800.1	GO:0008565, GO:0006886
Gorai.001G080700.1	GO:0016831, GO:0030170, GO:0019752
Gorai.001G081100.1	GO:0022857, GO:0055085, GO:0016021
Gorai.001G081200.1	GO:0005506, GO:0016491, GO:0006633, GO:0055114
Gorai.001G081300.1	GO:0008375, GO:0016020
Gorai.001G081400.1	GO:0003968
Gorai.001G081500.1	GO:0008375, GO:0016020
Gorai.001G081700.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G081800.1	GO:0016021
Gorai.001G081900.1	GO:0004672, GO:0005524, GO:0006468, GO:0005515
Gorai.001G082200.1	GO:0033903, GO:0016998
Gorai.001G082300.1	GO:0003854, GO:0016616, GO:0006694, GO:0055114, GO:0003824, GO:0050662, GO:0044237
Gorai.001G082400.1	GO:0016021
Gorai.001G082500.1	GO:0016787, GO:0008152
